Time [s],Channel 2
0.873910000,0
0.873918000,1
0.873948000,0
0.873958000,1
0.873984000,0
0.873994000,1
0.874060000,0
0.874070000,1
0.874376000,0
0.874386000,1
0.874546000,0
0.874554000,1
0.874584000,0
0.874594000,1
0.874666000,0
0.874676000,1
0.874748000,0
0.874756000,1
0.874830000,0
0.874838000,1
0.874874000,0
0.874884000,1
0.874916000,0
0.874926000,1
0.874952000,0
0.874962000,1
0.875022000,0
0.875032000,1
0.875342000,0
0.875352000,1
0.875510000,0
0.875520000,1
0.875550000,0
0.875560000,1
0.875632000,0
0.875640000,1
0.875712000,0
0.875722000,1
0.875794000,0
0.875804000,1
0.875840000,0
0.875848000,1
0.875886000,0
0.875894000,1
0.875920000,0
0.875930000,1
0.875984000,0
0.875994000,1
0.876308000,0
0.876316000,1
0.876476000,0
0.876486000,1
0.876516000,0
0.876524000,1
0.876596000,0
0.876606000,1
0.876678000,0
0.876688000,1
0.876760000,0
0.876770000,1
0.876804000,0
0.876814000,1
0.876854000,0
0.876862000,1
0.876890000,0
0.876898000,1
0.876946000,0
0.876956000,1
0.877272000,0
0.877282000,1
0.877442000,0
0.877450000,1
0.877504000,0
0.877514000,1
0.877586000,0
0.877596000,1
0.877668000,0
0.877676000,1
0.877750000,0
0.877758000,1
0.877794000,0
0.877804000,1
0.877846000,0
0.877854000,1
0.877882000,0
0.877890000,1
0.877934000,0
0.877942000,1
0.878238000,0
0.878246000,1
0.878406000,0
0.878416000,1
0.878446000,0
0.878456000,1
0.878528000,0
0.878536000,1
0.878608000,0
0.878618000,1
0.878690000,0
0.878700000,1
0.878736000,0
0.878744000,1
0.878790000,0
0.878798000,1
0.878826000,0
0.878836000,1
0.878872000,0
0.878880000,1
0.879202000,0
0.879212000,1
0.879372000,0
0.879382000,1
0.879412000,0
0.879420000,1
0.879492000,0
0.879502000,1
0.879574000,0
0.879584000,1
0.879656000,0
0.879664000,1
0.879700000,0
0.879710000,1
0.879758000,0
0.879768000,1
0.879794000,0
0.879804000,1
0.879834000,0
0.879842000,1
0.880168000,0
0.880178000,1
0.880338000,0
0.880346000,1
0.880400000,0
0.880410000,1
0.880482000,0
0.880492000,1
0.880564000,0
0.880572000,1
0.880644000,0
0.880654000,1
0.880690000,0
0.880698000,1
0.880750000,0
0.880760000,1
0.880786000,0
0.880796000,1
0.880828000,0
0.880838000,1
0.881134000,0
0.881142000,1
0.881302000,0
0.881312000,1
0.881366000,0
0.881374000,1
0.881446000,0
0.881456000,1
0.881528000,0
0.881538000,1
0.881610000,0
0.881620000,1
0.881656000,0
0.881664000,1
0.881718000,0
0.881728000,1
0.881754000,0
0.881764000,1
0.881790000,0
0.881800000,1
0.882098000,0
0.882108000,1
0.882268000,0
0.882276000,1
0.882306000,0
0.882316000,1
0.882388000,0
0.882398000,1
0.882470000,0
0.882478000,1
0.882550000,0
0.882560000,1
0.882596000,0
0.882606000,1
0.882662000,0
0.882672000,1
0.882698000,0
0.882708000,1
0.882752000,0
0.882762000,1
0.883064000,0
0.883072000,1
0.883232000,0
0.883242000,1
0.883272000,0
0.883282000,1
0.883354000,0
0.883362000,1
0.883434000,0
0.883444000,1
0.883516000,0
0.883526000,1
0.883562000,0
0.883570000,1
0.883630000,0
0.883640000,1
0.883666000,0
0.883676000,1
0.883716000,0
0.883724000,1
0.884028000,0
0.884038000,1
0.884198000,0
0.884206000,1
0.884238000,0
0.884246000,1
0.884318000,0
0.884328000,1
0.884400000,0
0.884410000,1
0.884482000,0
0.884490000,1
0.884526000,0
0.884536000,1
0.884598000,0
0.884608000,1
0.884636000,0
0.884644000,1
0.884702000,0
0.884710000,1
0.884994000,0
0.885004000,1
0.885164000,0
0.885172000,1
0.885226000,0
0.885236000,1
0.885308000,0
0.885316000,1
0.885390000,0
0.885398000,1
0.885470000,0
0.885480000,1
0.885516000,0
0.885524000,1
0.885592000,0
0.885600000,1
0.885628000,0
0.885636000,1
0.885688000,0
0.885698000,1
0.885960000,0
0.885968000,1
0.886128000,0
0.886138000,1
0.886204000,0
0.886212000,1
0.886284000,0
0.886294000,1
0.886366000,0
0.886376000,1
0.886448000,0
0.886456000,1
0.886494000,0
0.886502000,1
0.886572000,0
0.886580000,1
0.886608000,0
0.886618000,1
0.886686000,0
0.886696000,1
0.886924000,0
0.886934000,1
0.887094000,0
0.887102000,1
0.887168000,0
0.887178000,1
0.887250000,0
0.887260000,1
0.887332000,0
0.887340000,1
0.887414000,0
0.887422000,1
0.887458000,0
0.887468000,1
0.887540000,0
0.887550000,1
0.887576000,0
0.887586000,1
0.887648000,0
0.887658000,1
0.887890000,0
0.887898000,1
0.888058000,0
0.888068000,1
0.888134000,0
0.888144000,1
0.888216000,0
0.888224000,1
0.888296000,0
0.888306000,1
0.888378000,0
0.888388000,1
0.888426000,0
0.888436000,1
0.888462000,0
0.888472000,1
0.888498000,0
0.888508000,1
0.888556000,0
0.888566000,1
0.888856000,0
0.888864000,1
0.889024000,0
0.889034000,1
0.889088000,0
0.889096000,1
0.889168000,0
0.889178000,1
0.889250000,0
0.889260000,1
0.889332000,0
0.889340000,1
0.889380000,0
0.889390000,1
0.889420000,0
0.889428000,1
0.889456000,0
0.889464000,1
0.889506000,0
0.889516000,1
0.889820000,0
0.889830000,1
0.889990000,0
0.889998000,1
0.890052000,0
0.890062000,1
0.890134000,0
0.890144000,1
0.890216000,0
0.890224000,1
0.890296000,0
0.890306000,1
0.890346000,0
0.890354000,1
0.890388000,0
0.890396000,1
0.890424000,0
0.890432000,1
0.890468000,0
0.890478000,1
0.890786000,0
0.890794000,1
0.890954000,0
0.890964000,1
0.891006000,0
0.891014000,1
0.891088000,0
0.891096000,1
0.891168000,0
0.891178000,1
0.891250000,0
0.891260000,1
0.891298000,0
0.891308000,1
0.891344000,0
0.891352000,1
0.891380000,0
0.891388000,1
0.891420000,0
0.891428000,1
0.891750000,0
0.891760000,1
0.891920000,0
0.891930000,1
0.891958000,0
0.891968000,1
0.892040000,0
0.892050000,1
0.892122000,0
0.892132000,1
0.892204000,0
0.892212000,1
0.892252000,0
0.892260000,1
0.892300000,0
0.892310000,1
0.892336000,0
0.892346000,1
0.892418000,0
0.892426000,1
0.892716000,0
0.892726000,1
0.892884000,0
0.892894000,1
0.892924000,0
0.892934000,1
0.893006000,0
0.893016000,1
0.893088000,0
0.893096000,1
0.893168000,0
0.893178000,1
0.893216000,0
0.893226000,1
0.893268000,0
0.893278000,1
0.893304000,0
0.893314000,1
0.893380000,0
0.893390000,1
0.893682000,0
0.893690000,1
0.893850000,0
0.893860000,1
0.893890000,0
0.893898000,1
0.893970000,0
0.893980000,1
0.894052000,0
0.894062000,1
0.894134000,0
0.894144000,1
0.894182000,0
0.894192000,1
0.894236000,0
0.894246000,1
0.894272000,0
0.894282000,1
0.894342000,0
0.894352000,1
0.894646000,0
0.894656000,1
0.894816000,0
0.894824000,1
0.894854000,0
0.894864000,1
0.894936000,0
0.894946000,1
0.895018000,0
0.895026000,1
0.895100000,0
0.895108000,1
0.895148000,0
0.895156000,1
0.895204000,0
0.895214000,1
0.895240000,0
0.895250000,1
0.895304000,0
0.895314000,1
0.895612000,0
0.895622000,1
0.895780000,0
0.895790000,1
0.895820000,0
0.895830000,1
0.895902000,0
0.895910000,1
0.895982000,0
0.895992000,1
0.896064000,0
0.896074000,1
0.896112000,0
0.896122000,1
0.896174000,0
0.896182000,1
0.896210000,0
0.896218000,1
0.896276000,0
0.896284000,1
0.896578000,0
0.896586000,1
0.896746000,0
0.896756000,1
0.896786000,0
0.896794000,1
0.896866000,0
0.896876000,1
0.896948000,0
0.896958000,1
0.897030000,0
0.897038000,1
0.897078000,0
0.897088000,1
0.897142000,0
0.897150000,1
0.897178000,0
0.897186000,1
0.897238000,0
0.897246000,1
0.897542000,0
0.897552000,1
0.897712000,0
0.897720000,1
0.897750000,0
0.897760000,1
0.897832000,0
0.897842000,1
0.897914000,0
0.897922000,1
0.897994000,0
0.898004000,1
0.898044000,0
0.898052000,1
0.898110000,0
0.898118000,1
0.898146000,0
0.898154000,1
0.898224000,0
0.898234000,1
0.898508000,0
0.898516000,1
0.898676000,0
0.898686000,1
0.898716000,0
0.898726000,1
0.898798000,0
0.898806000,1
0.898878000,0
0.898888000,1
0.898960000,0
0.898970000,1
0.899008000,0
0.899018000,1
0.899078000,0
0.899088000,1
0.899114000,0
0.899124000,1
0.899186000,0
0.899196000,1
0.899472000,0
0.899482000,1
0.899642000,0
0.899652000,1
0.899682000,0
0.899690000,1
0.899762000,0
0.899772000,1
0.899844000,0
0.899854000,1
0.899926000,0
0.899934000,1
0.899974000,0
0.899982000,1
0.900046000,0
0.900056000,1
0.900082000,0
0.900092000,1
0.900124000,0
0.900134000,1
0.900438000,0
0.900448000,1
0.900608000,0
0.900616000,1
0.900682000,0
0.900692000,1
0.900764000,0
0.900774000,1
0.900846000,0
0.900854000,1
0.900928000,0
0.900936000,1
0.900976000,0
0.900984000,1
0.901050000,0
0.901060000,1
0.901086000,0
0.901096000,1
0.901124000,0
0.901132000,1
0.901404000,0
0.901412000,1
0.901572000,0
0.901582000,1
0.901624000,0
0.901632000,1
0.901706000,0
0.901714000,1
0.901786000,0
0.901796000,1
0.901868000,0
0.901878000,1
0.901916000,0
0.901926000,1
0.901994000,0
0.902004000,1
0.902032000,0
0.902040000,1
0.902086000,0
0.902094000,1
0.902368000,0
0.902378000,1
0.902538000,0
0.902548000,1
0.902614000,0
0.902622000,1
0.902694000,0
0.902704000,1
0.902776000,0
0.902786000,1
